date,workout_type,duration(HH:mm:ss),distance(km),avg_resistance,max_resistance,avg_cadence(rpm),max_cadence(rpm),avg_wattage,max_wattage,max_speed(km/h),avg_heart_rate,max_heart_rate,notes
24-SEP-2023,bike (stationary),00:30:00,15.69,0.45,0.58,84,119,163,305,40.4,180,190,""
29-AUG-2023,bike (stationary),00:30:00,16.22,0.49,0.65,79,110,179,523,49.1,154,190,""
28-AUG-2023,bike (stationary),00:15:00,8.71,0.50,0.65,85,102,208,352,42.5,62,178,""
27-AUG-2023,bike (stationary),00:20:00,11.17,0.48,0.62,84,109,192,462,47.0,158,182,""
26-AUG-2023,bike (stationary),00:15:00,8.32,0.50,0.60,79,112,190,443,46.2,154,183,""
25-AUG-2023,bike (stationary),00:15:00,7.44,0.41,0.54,86,107,140,251,37.5,140,154,""
21-AUG-2023,bike (stationary),00:10:00,5.91,0.51,0.63,85,124,221,610,51.8,161,180,""
11-AUG-2023,bike (stationary),00:20:00,10.75,0.47,0.57,83,131,173,354,42.7,168,183,""
30-JUL-2023,bike (stationary),00:20:00,11.10,0.48,0.71,85,116,190,540,49.6,174,190,""
28-JUL-2023,bike (stationary),00:10:00,5.58,0.47,0.57,85,107,190,391,44.1,,,"Watch app decided it didn't want to connect so no heartrate data"
21-JUL-2023,bike (stationary),00:10:00,5.85,0.54,0.66,78,101,221,469,47.2,163,181,""
18-JUL-2023,bike (stationary),00:10:00,5.01,0.43,0.57,84,100,146,269,38.5,173,178,""
17-JUL-2023,bike (stationary),00:10:00,5.02,0.42,0.60,88,122,150,539,49.6,163,181,"Third ride on this day, few minutes after second ride; first time doing an instructor led session, it was much more chill than my default pace"
17-JUL-2023,bike (stationary),00:10:01,5.34,0.51,0.65,71,89,160,226,36.1,171,183,"Second ride on this day; few minutes rest after first ride"
17-JUL-2023,bike (stationary),00:20:01,11.39,0.51,0.61,80,132,172,463,47.0,178,188,"First ride on this day"
15-APR-2023,bike (stationary),00:15:02,3.01,0.55,0.56,77,93,227,309,40.6,174,187,"Did this one a few minutes after the 10 min one on the same day"
15-APR-2023,bike (stationary),00:10:02,6.07,0.55,0.72,77,107,234,406,44.7,172,187,""
28-FEB-2023,bike (stationary),00:15:32,,,,,,,,6.34,175,188,"Broke up into a 10 min and a 5 min. At Cap Maison (St. Lucia)."
06-FEB-2023,bike (stationary),00:10:02,6.09,0.63,0.67,64,81,236,381,43.8,167,186,"Started tracking workout late on my watch, average heart rate is likely inaccurate."
19-JAN-2023,bike (stationary),00:10:19,6.10,0.65,0.73,59,68,218,279,39.1,161,186,""
11-DEC-2022,bike (stationary),00:10:00,5.44,0.56,0.86,65,87,182,401,44.6,163,187,"No breaks this time. Strong session."
09-DEC-2022,bike (stationary),00:10:15,4.70,0.48,0.67,67,96,141,401,44.6,150,187,"Took some time to get used to the bike. Had to stop twice to re-adjust. Didn’t record workout properly so these numbers are a super rough estimate. Avg heartrate was somewhere between 144 and 174."
