date,elevation(m),duration(HH:mm:ss)
14-JUL-2024,100,00:11:42
14-JUL-2024,200,00:23:25
14-JUL-2024,305,00:25:32
14-JUL-2024,400,00:46:35
14-JUL-2024,500,00:58:11
14-JUL-2024,515,01:00:00
12-JUL-2024,100,00:14:33
12-JUL-2024,200,00:29:08
12-JUL-2024,305,00:44:21
12-JUL-2024,400,00:58:13
12-JUL-2024,412,01:00:00
10-JUL-2024,100,00:14:31
10-JUL-2024,200,00:28:57
10-JUL-2024,305,00:44:23
10-JUL-2024,400,00:57:50
10-JUL-2024,415,01:00:00
08-JUL-2024,415,01:00:00
06-JUL-2024,100,00:13:14
06-JUL-2024,200,00:27:25
06-JUL-2024,305,00:42:25
06-JUL-2024,400,00:56:11
06-JUL-2024,426,01:00:00
02-JUL-2024,100,00:11:31
02-JUL-2024,200,00:21:19
02-JUL-2024,305,00:31:35
02-JUL-2024,400,00:41:00
02-JUL-2024,500,00:50:59
02-JUL-2024,600,00:59:59
02-JUL-2024,600,01:00:00
30-JUN-2024,100,00:14:41
30-JUN-2024,200,00:29:14
30-JUN-2024,305,00:44:29
30-JUN-2024,400,00:58:20
30-JUN-2024,411,01:00:00
28-JUN-2024,100,00:14:19
28-JUN-2024,200,00:28:29
28-JUN-2024,305,00:43:20
28-JUN-2024,400,00:56:49
28-JUN-2024,422,01:00:00
22-JUN-2024,100,00:14:32
22-JUN-2024,200,00:28:58
22-JUN-2024,305,00:44:08
22-JUN-2024,400,00:57:51
22-JUN-2024,420,01:00:00
19-JUN-2024,100,00:14:34
19-JUN-2024,200,00:29:07
19-JUN-2024,305,00:44:22
19-JUN-2024,400,00:58:13
19-JUN-2024,412,01:00:00
19-JUN-2024,500,01:12:43
19-JUN-2024,600,01:27:18
18-JUN-2024,100,00:11:41
18-JUN-2024,200,00:23:20
18-JUN-2024,305,00:35:33
18-JUN-2024,400,00:46:25
18-JUN-2024,500,00:58:05
18-JUN-2024,516,01:00:00
13-JUN-2024,100,00:11:41
13-JUN-2024,200,00:23:13
13-JUN-2024,305,00:34:53
13-JUN-2024,400,00:46:16
13-JUN-2024,500,00:57:50
13-JUN-2024,519,01:00:00
13-JUN-2024,600,01:09:18
06-JUN-2024,100,00:12:56
06-JUN-2024,200,00:25:47
06-JUN-2024,305,00:39:15
06-JUN-2024,400,00:51:27
06-JUN-2024,466,01:00:00
06-JUN-2024,500,01:04:19
04-JUN-2024,100,00:10:00
04-JUN-2024,200,00:20:24
04-JUN-2024,305,00:30:50
04-JUN-2024,400,00:40:54
04-JUN-2024,500,00:51:28
04-JUN-2024,589,01:00:00
04-JUN-2024,610,01:02:20
29-MAY-2024,100,00:13:42
29-MAY-2024,200,00:27:06
29-MAY-2024,305,00:41:01
29-MAY-2024,400,00:53:55
29-MAY-2024,445,01:00:00
27-MAY-2024,100,00:22:17
25-MAY-2024,100,00:14:30
25-MAY-2024,200,00:28:57
25-MAY-2024,305,00:44:04
25-MAY-2024,400,00:57:51
25-MAY-2024,415,01:00:00
25-MAY-2024,500,01:12:16
23-MAY-2024,100,00:14:24
23-MAY-2024,200,00:28:40
23-MAY-2024,305,00:43:37
23-MAY-2024,400,00:57:13
23-MAY-2024,419,01:00:00
20-MAY-2024,100,00:14:34
20-MAY-2024,200,00:29:00
20-MAY-2024,305,00:44:08
20-MAY-2024,400,00:57:53
20-MAY-2024,414,01:00:00
18-MAY-2024,305,00:43:19
18-MAY-2024,400,00:56:47
18-MAY-2024,450,01:00:00
15-MAY-2024,100,00:12:57
15-MAY-2024,200,00:25:48
15-MAY-2024,305,00:39:16
15-MAY-2024,400,00:51:29
15-MAY-2024,466,01:00:00
15-MAY-2024,500,01:04:20
11-MAY-2024,100,00:13:00
11-MAY-2024,200,00:25:46
11-MAY-2024,305,00:39:18
11-MAY-2024,400,00:51:32
11-MAY-2024,465,01:00:00
11-MAY-2024,500,01:04:53
08-MAY-2024,100,00:12:58
08-MAY-2024,200,00:25:48
08-MAY-2024,305,00:39:16
08-MAY-2024,400,00:51:30
08-MAY-2024,466,01:00:00
08-MAY-2024,500,01:07:40
04-MAY-2024,100,00:12:57
04-MAY-2024,200,00:25:47
04-MAY-2024,305,00:39:15
04-MAY-2024,400,00:51:29
04-MAY-2024,466,01:00:00
04-MAY-2024,500,01:04:20
01-MAY-2024,100,00:12:13
01-MAY-2024,515,01:00:00
28-APR-2024,100,00:14:36
28-APR-2024,200,00:29:01
28-APR-2024,305,00:45:28
28-APR-2024,400,00:57:54
28-APR-2024,414,01:00:00
25-APR-2024,100,00:12:11
23-APR-2024,100,00:14:04
23-APR-2024,200,00:27:59
23-APR-2024,305,00:42:33
23-APR-2024,400,00:55:47
23-APR-2024,430,01:00:00
21-APR-2024,100,00:14:32
21-APR-2024,200,00:28:58
21-APR-2024,305,00:43:18
21-APR-2024,400,00:57:04
21-APR-2024,428,01:00:00
19-APR-2024,100,00:14:36
19-APR-2024,200,00:29:09
17-APR-2024,100,00:14:36
17-APR-2024,200,00:29:02
15-APR-2024,100,00:14:30
15-APR-2024,200,00:28:49
13-APR-2024,100,00:14:25
13-APR-2024,200,00:28:45
13-APR-2024,305,00:43:46
13-APR-2024,400,00:57:24
13-APR-2024,418,01:00:00
11-APR-2024,100,00:13:03
11-APR-2024,200,00:25:48
11-APR-2024,305,00:39:38
11-APR-2024,400,00:51:41
11-APR-2024,464,01:00:00
09-APR-2024,100,00:14:32
09-APR-2024,200,00:28:58
09-APR-2024,305,00:44:06
09-APR-2024,600,01:12:34
09-APR-2024,700,01:27:02
09-APR-2024,725,01:30:00
05-APR-2024,100,00:14:42
05-APR-2024,200,00:27:33
05-APR-2024,305,00:41:02
05-APR-2024,400,00:53:15
05-APR-2024,452,01:00:00
01-APR-2024,100,00:13:00
01-APR-2024,200,00:25:51
01-APR-2024,305,00:39:19
01-APR-2024,400,00:51:32
01-APR-2024,466,01:00:00
01-APR-2024,500,01:04:23
01-APR-2024,600,01:17:14
30-MAR-2024,100,00:12:34
30-MAR-2024,200,00:25:01
30-MAR-2024,305,00:37:50
30-MAR-2024,400,00:49:17
30-MAR-2024,489,01:00:00
30-MAR-2024,500,01:01:17
28-MAR-2024,100,00:14:17
28-MAR-2024,200,00:28:27
28-MAR-2024,305,00:43:18
28-MAR-2024,400,00:56:47
28-MAR-2024,422,01:00:00
26-MAR-2024,100,00:11:37
26-MAR-2024,200,00:23:17
26-MAR-2024,305,00:35:31
26-MAR-2024,400,00:46:36
26-MAR-2024,500,00:58:15
26-MAR-2024,515,01:00:00
23-MAR-2024,100,00:14:37
23-MAR-2024,200,00:29:03
23-MAR-2024,305,00:44:13
23-MAR-2024,400,00:57:56
23-MAR-2024,414,01:00:00
19-MAR-2024,100,00:11:29
19-MAR-2024,200,00:22:58
19-MAR-2024,305,00:35:02
19-MAR-2024,400,00:45:56
19-MAR-2024,500,00:57:11
19-MAR-2024,525,01:00:00
17-MAR-2024,100,00:14:26
17-MAR-2024,200,00:28:46
17-MAR-2024,305,00:43:47
17-MAR-2024,400,00:57:26
17-MAR-2024,417,01:00:00
16-MAR-2024,100,00:14:31
16-MAR-2024,200,00:28:58
16-MAR-2024,305,00:44:05
16-MAR-2024,400,00:57:50
16-MAR-2024,415,01:00:00
13-MAR-2024,100,00:10:06
13-MAR-2024,200,00:20:41
13-MAR-2024,305,00:29:42
13-MAR-2024,400,00:39:47
13-MAR-2024,500,00:50:24
13-MAR-2024,608,01:00:00
11-MAR-2024,100,00:14:33
11-MAR-2024,200,00:29:05
11-MAR-2024,305,00:44:08
11-MAR-2024,400,00:57:52
11-MAR-2024,414,01:00:00
08-MAR-2024,100,00:11:48
08-MAR-2024,200,00:23:27
08-MAR-2024,305,00:35:42
08-MAR-2024,400,00:46:46
08-MAR-2024,500,00:58:26
08-MAR-2024,513,01:00:00
02-MAR-2024,100,00:11:35
02-MAR-2024,200,00:22:42
02-MAR-2024,268,00:35:07
02-MAR-2024,368,00:45:15
02-MAR-2024,468,00:55:57
02-MAR-2024,511,01:00:00
26-FEB-2024,100,00:13:14
26-FEB-2024,200,00:26:11
26-FEB-2024,305,00:39:44
26-FEB-2024,400,00:50:51
26-FEB-2024,478,01:00:00
26-FEB-2024,500,01:03:33
24-FEB-2024,100,00:16:05
24-FEB-2024,200,00:32:03
24-FEB-2024,305,00:48:51
24-FEB-2024,377,01:00:00
24-FEB-2024,100,00:16:03
24-FEB-2024,200,00:31:53
24-FEB-2024,305,00:48:31
24-FEB-2024,377,01:00:00
21-FEB-2024,100,00:14:03
21-FEB-2024,200,00:27:57
21-FEB-2024,305,00:42:31
