date,workout_type,duration(HH:mm:ss),distance(km),steps,elevation(m),weight(lbs),avg_heart_rate,max_heart_rate,notes
03-JAN-2024,walk (treadmill),01:01:00,5.28,6395,453,0,145,176,""
30-DEC-2023,walk (treadmill),01:02:00,5.51,5619,521,0,153,161,""
29-DEC-2023,walk (outdoor),00:11:56,1.40,1482,5,0,136,171,"walk back from earnscliffe rec center with a detour and brief jog"
28-DEC-2023,walk (outdoor),00:09:44,0.96,1116,5,0,125,132,"walk back from earnscliffe rec center"
28-DEC-2023,walk (treadmill),01:01:00,5.40,6487,425,0,136,143,""
27-DEC-2023,walk (outdoor),00:09:57,1.00,1439,3,0,132,158,"walk back from earnscliffe rec center"
25-DEC-2023,walk (outdoor),02:17:41,14.35,17014,50,0,129,178,""
24-DEC-2023,walk (outdoor),01:24:42,8.69,9093,26,0,121,135,""
23-DEC-2023,walk (treadmill),01:01:00,5.40,6655,517,0,144,184,""
21-DEC-2023,walk (treadmill),01:01:00,5.78,6597,434,0,149,177,""
19-DEC-2023,walk (treadmill),01:01:00,5.67,6669,434,0,146,180,""
15-DEC-2023,walk (treadmill),01:06:00,5.72,6887,450,0,144,160,""
13-DEC-2023,walk (treadmill),01:01:00,5.29,6412,363,0,141,148,""
13-DEC-2023,walk (treadmill),00:11:35,1.01,1225,104,0,166,184,""
11-DEC-2023,walk (treadmill),01:04:33,5.60,7816,500,0,156,190,""
09-DEC-2023,walk (treadmill),01:01:00,5.29,6395,363,0,140,147,""
08-DEC-2023,walk (treadmill),00:10:41,1.00,1173,47,0,139,150,"pre-workout"
07-DEC-2023,walk (treadmill),01:07:00,5.81,7259,401,0,141,148,""
05-DEC-2023,walk (treadmill),01:01:08,5.47,6789,408,0,153,177,""
03-DEC-2023,walk (treadmill),01:06:00,5.73,6902,450,0,152,163,""
01-DEC-2023,walk (treadmill),01:07:02,5.81,7079,450,0,151,159,""
29-NOV-2023,walk (treadmill),01:06:00,5.72,6910,439,0,147,160,""
27-NOV-2023,walk (treadmill),01:12:00,6.98,8063,457,0,159,193,""
25-NOV-2023,walk (treadmill),01:09:22,6.01,7361,433,0,142,176,"1 year of cardio, 1000km walked! Woohoo!"
24-NOV-2023,walk (treadmill),01:21:00,7.03,8513,484,0,141,150,""
24-NOV-2023,walk (treadmill),01:10:44,6.80,7924,305,0,150,177,""
23-NOV-2023,walk (treadmill),00:10:12,1.08,1320,0,0,134,156,"post-workout"
23-NOV-2023,walk (treadmill),01:01:00,5.39,6525,370,0,150,161,"morning workout while fasted"
21-NOV-2023,walk (treadmill),01:01:00,5.25,6292,407,0,145,158,"Watch died in the last minute or so, some numbers are a little fuzzy"
19-NOV-2023,walk (treadmill),01:00:29,5.61,6549,278,0,141,151,""
19-NOV-2023,walk (treadmill),01:04:43,7.02,7599,251,0,158,184,""
18-NOV-2023,walk (treadmill),00:11:15,1.06,1237,50,0,143,157,"post-workout"
18-NOV-2023,hike (light or no pack),01:27:00,5.44,,145,3,122,146,""
17-NOV-2023,walk (treadmill),01:31:00,7.90,9607,545,0,145,156,""
15-NOV-2023,walk (treadmill),01:07:14,5.99,7236,345,20,151,183,"forgot to extend treadmill time so got stuck with a stop/go at the 30min mark"
13-NOV-2023,walk (treadmill),01:11:11,6.17,7497,426,0,147,155,""
12-NOV-2023,walk (treadmill),00:11:20,1.32,1334,21,0,144,160,"warm-up; e-stop got triggered two times, this was a mess"
11-NOV-2023,walk (treadmill),01:12:00,7.09,8126,365,0,150,183,""
08-NOV-2023,walk (treadmill),01:06:00,5.71,7068,503,0,159,182,""
