date,exercise,reps,weight(lbs),rating
19-MAY-2024,Bench Press,10,135,warm-up
19-MAY-2024,Bench Press,10,205,good
19-MAY-2024,Bench Press,8,225,good
19-MAY-2024,Bench Press,8,225,good
19-MAY-2024,Incline Dumbbell Press,10,45,warm-up
19-MAY-2024,Incline Dumbbell Press,12,75,good
19-MAY-2024,Incline Dumbbell Press,10,75,good
19-MAY-2024,Incline Dumbbell Press,12,75,good
19-MAY-2024,Machine Pec Flies,10,120,warm-up
19-MAY-2024,Machine Pec Flies,10,220,good
19-MAY-2024,Machine Pec Flies,9,220,good
19-MAY-2024,Machine Pec Flies,8,225,good
19-MAY-2024,Shrugs,10,65,good
19-MAY-2024,Shrugs,10,65,good
19-MAY-2024,Shrugs,10,65,good
19-MAY-2024,Single-Arm Farmer's Carry,55,65,good
19-MAY-2024,Single-Arm Farmer's Carry,55,65,good
19-MAY-2024,Single-Arm Farmer's Carry,55,65,good
19-MAY-2024,Parallel Bar Leg Raise,12,0,good
19-MAY-2024,Parallel Bar Leg Raise,12,0,good
19-MAY-2024,Parallel Bar Leg Raise,12,0,good
16-MAY-2024,Bicep Curl,10,20,warm-up
16-MAY-2024,Bicep Curl,10,35,good
16-MAY-2024,Bicep Curl,10,35,good
16-MAY-2024,Bicep Curl,10,35,good
16-MAY-2024,Hammer Curl,10,20,warm-up
16-MAY-2024,Hammer Curl,10,35,good
16-MAY-2024,Hammer Curl,10,35,good
16-MAY-2024,Hammer Curl,10,35,good
16-MAY-2024,Overhead Tricep Extension,10,20,warm-up
16-MAY-2024,Overhead Tricep Extension,10,35,good
16-MAY-2024,Overhead Tricep Extension,11,35,good
16-MAY-2024,Overhead Tricep Extension,11,35,good
16-MAY-2024,Tricep Pushdown (V-Bar),10,100,warm-up
16-MAY-2024,Tricep Pushdown (V-Bar),10,170,good
16-MAY-2024,Tricep Pushdown (V-Bar),10,170,good
16-MAY-2024,Tricep Pushdown (V-Bar),10,170,good
16-MAY-2024,Lawnmowers,10,40,warm-up
16-MAY-2024,Lawnmowers,10,75,good
16-MAY-2024,Lawnmowers,10,75,good
16-MAY-2024,Lawnmowers,10,75,good
16-MAY-2024,Pullovers,10,30,warm-up
16-MAY-2024,Pullovers,10,65,good
16-MAY-2024,Pullovers,10,65,good
16-MAY-2024,Pullovers,10,65,bad
16-MAY-2024,Wide-Grip Pull-Up,10,-110,warm-up
16-MAY-2024,Wide-Grip Pull-Up,10,-70,good
16-MAY-2024,Wide-Grip Pull-Up,10,-70,good
16-MAY-2024,Wide-Grip Pull-Up,10,-70,good
14-MAY-2024,Good Morning,10,95,good
14-MAY-2024,Good Morning,10,95,good
14-MAY-2024,Good Morning,10,95,good
14-MAY-2024,Upward Dumbbell Pec Flies,5,15,warm-up
14-MAY-2024,Upward Dumbbell Pec Flies,10,20,good
14-MAY-2024,Upward Dumbbell Pec Flies,10,20,good
14-MAY-2024,Upward Dumbbell Pec Flies,10,20,good
14-MAY-2024,Neutral-Grip Chin-Up,2,0,good
14-MAY-2024,Neutral-Grip Chin-Up,2,0,good
14-MAY-2024,Chin-Up,1,0,good
14-MAY-2024,Cable Lying Hip Flexors,10,35,warm-up
14-MAY-2024,Cable Lying Hip Flexors,10,70,good
14-MAY-2024,Cable Lying Hip Flexors,12,70,good
14-MAY-2024,Cable Lying Hip Flexors,10,80,good
14-MAY-2024,Machine Hip Abductors,10,70,warm-up
14-MAY-2024,Machine Hip Abductors,12,125,good
14-MAY-2024,Machine Hip Abductors,12,125,good
14-MAY-2024,Machine Hip Abductors,10,130,good
14-MAY-2024,Machine Hip Adductors,10,70,warm-up
14-MAY-2024,Machine Hip Adductors,12,125,good
14-MAY-2024,Machine Hip Adductors,12,125,good
14-MAY-2024,Machine Hip Adductors,10,130,good
12-MAY-2024,Lateral Lift,10,15,warm-up
12-MAY-2024,Lateral Lift,10,30,good
12-MAY-2024,Lateral Lift,10,25,good
12-MAY-2024,Lateral Lift,10,25,good
12-MAY-2024,Full Cans,20,10,good
12-MAY-2024,Full Cans,20,10,good
12-MAY-2024,Full Cans,20,10,good
12-MAY-2024,Arnold Press,10,40,warm-up
12-MAY-2024,Arnold Press,8,65,good
12-MAY-2024,Arnold Press,6,65,good
12-MAY-2024,Arnold Press,10,60,good
12-MAY-2024,Single-Arm Delt Flies,10,45,warm-up
12-MAY-2024,Single-Arm Delt Flies,10,70,good
12-MAY-2024,Single-Arm Delt Flies,10,70,good
12-MAY-2024,Single-Arm Delt Flies,10,70,good
12-MAY-2024,Squats,5,135,warm-up
12-MAY-2024,Squats,5,225,good
12-MAY-2024,Squats,5,255,good
12-MAY-2024,Squats,3,255,bad
12-MAY-2024,Squats,5,225,good
